"influences";"influenced"
"Ferdinand S";"Jan Mikulicz-Radeck"
"Nicos Poulantz";"Antonio Gram"
"Sulamith Wülfin";"John Bauer (illustrator)"
"Dušan Pirjev";"Martin H"
"Hermann Grapow";"Pahor L"
"Ralph Kron";"Wolfgang Paul"
"Michael H";"Antonio N"
"Rudolf Bultmann";"Martin H"
"John B. C";"Charles Hartshorn"
"Abraham S";"John Flam"
"Anthony Down";"Kenneth Arrow"
"Bas van Fraassen";"Wilfrid Sell"
"Carlo Cignan";"Francesco Alban"
"David G";"Bob Black"
"Dennis C";"William S. B"
"Gilbert Harman";"Willard Van Orman Quin"
"Gordon Tullock";"Henry Calvert Simon"
"Hedwig Gorsk";"Jerzy Grotowsk"
"Hedwig Gorsk";"Wisława Szymborsk"
"Henry Ludwell M";"Léon Wal"
"Peter Voulk";"Frances Sensk"
"Roland G. Fryer, J";"Gary Beck"
"Wolfi Lan";"André Breton"
"Walther K";"Jan Mikulicz-Radeck"
"Alexander Potebnj";"Wilhelm von Humbol"
"Joxe Azurmen";"Wilhelm von Humbol"
"P. A. V. B. Swamy";"Arthur Gol"
"Philip Larkin";"Thomas Hardy"
"George David Birkhoff";"Henri Poincaré"
"J. Hoberman";"Andrew S"
"John Worrall (philosopher)";"Imre Lak"
"August Mack";"Wilhelm B"
"Benito Mussolin";"Giuseppe Mazzin"
"Bruno L";"Peter Sloterdijk"
"Cory Doctorow";"William Gibson"
"Gabriel Marcel";"Martin H"
"Gayatri Chakravorty Spivak";"Jacques D"
"Jean-Luc Nancy";"Martin H"
"John Pell";"Henry Briggs (mathematician)"
"Reinhard S";"August Strin"
"Rudolph Dirk";"Wilhelm B"
"Stephen Greenbl";"L"
"Néstor García Canclin";"Antonio Gram"
"Youp van 't Hek";"Wim Kan"
"Erez Ben–A";"Sarah Silverman"
"Harvey J. Levin";"William Vickrey"
"Axel Leijonhufv";"John Maynard Keyn"
"Axel Leijonhufv";"Léon Wal"
"Charles Scott Sherrington";"Johannes Peter Müll"
"Guram Dochanashvil";"William Faulkn"
"Maurice Halbw";"Émile Durkheim"
"Piero G";"Antonio Gram"
"Vincenzo Cardarell";"Giacomo L"
"Gala Galaction";"Tudor Arghez"
"Ida Kohlmey";"John McCrady"
"William L. Row";"Thomas R"
"João de Lem";"Camilo Castelo Bran"
"Henry David T";"Virgil"
"Amy Schum";"Sarah Silverman"
"Bill Cosby";"Lenny B"
"B";"Plotin"
"Brian En";"William S. B"
"Brian En";"Roy A"
"Charles Taylor (philosopher)";"Émile Durkheim"
"Charles Taylor (philosopher)";"Elizabeth Anscom"
"China Miévill";"M. John Harrison"
"Dennis Lee (author)";"George Grant (philosopher)"
"Frankie Boyl";"Lenny B"
"Gore Vidal";"Michel de Montaign"
"Penn Jill";"Abbie Hoffman"
"Percy Newberry";"Pahor L"
"Raymond William";"Antonio Gram"
"Sam Kinison";"Lenny B"
"Alvin Plantin";"Thomas R"
"Brian F";"John Bauer (illustrator)"
"Daniel Handl";"Vladimir Nabokov"
"Don DeLill";"Vladimir Nabokov"
"Don DeLill";"William Faulkn"
"Eugene O'Neill";"August Strin"
"Franco Modiglian";"John Maynard Keyn"
"Hafez al-A";"Antoun S"
"Heinrich Böll";"Thomas Mann"
"Henry Mill";"August Strin"
"Hierocles of Alexan";"Plotin"
"Hilary Putnam";"Willard Van Orman Quin"
"Ingeborg Bachmann";"Ilse Aichin"
"Iris M";"Elizabeth Anscom"
"Jeffrey Eugen";"Vladimir Nabokov"
"John Kenneth Gal";"John Maynard Keyn"
"Joseph Stiglitz";"John Maynard Keyn"
"Lou R";"Lenny B"
"Lou R";"William S. B"
"Malcolm Lowry";"William Faulkn"
"Marc Chagall";"Mikhail Vrubel"
"Margaret Atw";"Virginia Woolf"
"Martin Am";"Vladimir Nabokov"
"Nick Cav";"Vladimir Nabokov"
"Paul Feyeraben";"Imre Lak"
"Paulo Coel";"William Blak"
"Pierre Samuel du Pont de Nem";"François Quesnay"
"Poppy Z. B";"William S. B"
"Simplicius of Cil";"Plotin"
"S";"Virgil"
"V. Gordon Chil";"Arthur Evan"
"Will Self";"William S. B"
"William Jam";"Thomas R"
"Alfonsina Storn";"Amado Nerv"
"Alan M";"William Blak"
"Alan M";"William S. B"
"Herbert Gin";"Samuel Bowles (economist)"
"James Wesley Rawl";"Tom Clancy"
"Jim Morrison";"William Blak"
"Charles S";"William Gibson"
"Fredric Jameson";"Theodor W. Adorn"
"Hugh MacDiarm";"George Douglas Brown"
"Lin C";"L. Sprague de Cam"
"Robert Lowell";"William Carlos William"
"Robert Lowell";"John Berryman"
"Wassily Leontief";"Léon Wal"
"David Lewis (philosopher)";"Willard Van Orman Quin"
"David Mumf";"Ulf Grenan"
"Emilio Segrè";"Otto Hahn"
"Maurice All";"Léon Wal"
"Rae Arman";"William Carlos William"
"Paul Fauconn";"Émile Durkheim"
"Robert Brandom";"Wilfrid Sell"
"William Henry Flow";"Thomas Henry Huxley"
