"influences";"influenced"
"Thomas Jefferson";"Algernon Sidney"
"Thomas Kuhn";"Ludwig Wittgenstein"
"Thomas Kuhn";"Alexandre Koyré"
"Thomas à Kem";"John of Ruusbroec  John of Ruusbroec  1"
"Timon of Phl";"Py"
"Timothy Morton";"Graham Harman"
"Titian";"Giovanni Bellin"
"Titu M";"Vasile P"
"Tom Flanagan (political scientist)";"Alexander Christak"
"Wolfgang Sm";"Alfred North W"
"Yang Kuan";"Lü Simian"
"Yelena Polenov";"Konstantin Korovin"
"Yiannis L";"Alexander Christak"
"Ernst Platn";"Gottfried Wilhelm Leibniz"
"Johannes Taul";"John of Ruusbroec  John of Ruusbroec  1"
"Johann Reuchlin";"John Argyropoul"
"Rebecca Lan";"Alexandra Navrotsky"
"Lu Tin";"Ba T"
"Ludwig F";"Georg Wilhelm Friedrich Hegel"
"Ludwig Lachmann";"Carl Men"
"Ludwig Wittgenstein";"Baruch Spinoz"
"Ludwig Woltmann";"Georges Vacher de L"
"Ludwig von M";"Carl Men"
"Luiz Carlos Bresser-P";"Norberto B"
"Léon Spill";"Odilon Redon"
"Madison Gran";"Georges Vacher de L"
"Maimon";"Avem"
"Maimon";"Av"
"Malcolm H. Chisholm";"Geoffrey Wilkinson"
"Ugo Foscol";"Giambattista V"
"Umberto E";"Gershom Scholem"
