start,end,lon,lat,shape
2022-11-23 19:15:00,2022-11-23 19:25:00,0,0,10 minutes
2022-11-23 18:20:00,2022-11-23 18:20:00,0,0,less than ten seconds
2022-11-23 11:27:00,2022-11-23 11:27:40,0,0,40 seconds
2022-11-23 02:45:00,2022-11-23 02:45:00,0,0,Over an hour.
2022-11-23 00:30:00,2022-11-23 00:30:08,0,0,8 seconds
2022-11-22 22:50:00,2022-11-22 23:05:00,0,0,10-15 minutes
2022-11-22 22:00:00,2022-11-22 22:00:00,0,0,Seconds
2022-11-22 21:38:00,2022-11-22 21:38:13,0,0,10-13 seconds
2022-11-22 20:32:00,2022-11-22 20:32:02,0,0,2 seconds
2022-11-22 18:30:00,2022-11-22 18:30:02,0,0,2 seconds
2022-11-22 18:05:00,2022-11-22 18:05:30,0,0,30 seconds
2022-11-22 17:56:00,2022-11-22 17:56:30,0,0,30 seconds
2022-11-22 17:21:00,2022-11-22 17:22:00,0,0,1 minute
2022-11-22 17:08:00,2022-11-22 17:23:00,0,0,Approx 15 minutes
2022-11-22 16:54:00,2022-11-22 17:00:00,0,0,6 minutes
2022-11-22 16:47:00,2022-11-22 16:47:00,0,0,Few seconds
2022-11-22 09:09:00,2022-11-22 09:09:00,0,0,Everyday
2022-11-22 08:50:00,2022-11-22 08:52:00,0,0,1-2 minutes
2022-11-22 08:40:00,2022-11-22 08:45:00,0,0,5 min
2022-11-22 02:36:00,2022-11-22 02:36:02,0,0,1 to 2 seconds
2022-11-22 02:30:00,2022-11-22 02:30:00,0,0,1
2022-11-21 23:49:00,2022-11-21 23:49:00,0,0,For a bout a year
2022-11-21 22:00:00,2022-11-21 22:00:00,0,0,24/7
2022-11-21 20:45:00,2022-11-21 20:47:00,0,0,2004 2006? 2min or less
2022-11-21 20:30:00,2022-11-21 20:39:00,0,0,about 8 or 9 minutes
2022-11-21 20:00:00,2022-11-21 21:00:00,0,0,1 hour and still there
2022-11-21 19:10:00,2022-11-21 21:10:00,0,0,2 Minutes
2022-11-21 09:13:00,2022-11-21 09:13:10,0,0,~10 seconds
2022-11-20 22:52:00,2022-11-20 23:52:00,0,0,1 hour plus
2022-11-20 22:00:00,2022-11-20 22:00:00,0,0,All night
2022-11-20 20:15:00,2022-11-20 20:15:02,0,0,2 seconds
2022-11-20 18:58:00,2022-11-20 18:58:00,0,0,over a minute
2022-11-20 18:50:00,2022-11-20 18:50:05,0,0,3-5 seconds
2022-11-20 18:20:00,2022-11-20 18:20:00,0,0,About 1 to minutes
2022-11-20 18:01:00,2022-11-20 18:03:00,0,0,1-2minutes.It was moving
