"influences";"influenced"
"Charles Sanders P";"Victoria, Lady Welby"
"Charles Sanders P";"Alexander Bain (philosopher)"
"Charles Sutherland Elton";"Victor Ernest Shelf"
"Che Guev";"Alexander Herzen"
"Chris Bobon";"Alan C"
"Chris Lattn";"Vikram Adv"
"Christian Smith (sociologist)";"Alasdair MacInty"
"C";"Arcesil"
"Steven G. Cal";"David R. Mayhew"
"S";"Artemidorus E"
"Stuart Kauffman";"W. Ross Ashby"
"Subrahmanyan Chandrasek";"Viktor Ambartsumian"
"Susan Buck-M";"Walter Benjamin"
"Susan Petrill";"Victoria, Lady Welby"
"Susan Son";"Walter Benjamin"
"Susanne Lan";"Alfred North W"
"Larry Temkin";"Derek Parf"
"Paul Leon";"Wanda Orlikowsk"
"Abu al-Hassan al-Am";"Al-F"
"Abū Hayyān al-Tawhīdī";"Al-F"
"Carl Jun";"Johann Jakob Bachofen"
"Carl Jun";"Arthur Schopen"
"Carl Stumpf";"Bernard Bolzan"
"Casimir de Candoll";"Alphonse Pyramus de Candoll"
"Hugo Herrera (Chilean philosopher)";"Alberto Edw"
"Ben Fin";"Amartya Sen"
"L. E. J. Brouw";"Arthur Schopen"
"Labib H";"Aziz Suryal Atiy"
"Robert T";"Dan W. Brock"
"Gary Jacobson";"David R. Mayhew"
"Siger of Braban";"Av"
"Klaus Krippendorff";"W. Ross Ashby"
"Marco Aurelio Severin";"Dem"
"Donald Davidson (philosopher)";"Alfred North W"
"Donald Davidson (philosopher)";"Alfred Tarsk"
"Donald S. Gann";"Vernon Benjamin Mountcastl"
"Dorothea De Winton";"Caroline Pellew"
"Douglas Hof";"Daniel Denn"
"E. E. Evans-P";"Alfred Radcliffe-Brown"
"Simon Blackburn";"David Hum"
"Slavoj Žižek";"Walter Benjamin"
"Slavoj Žižek";"Alain B"
"Slavoj Žižek";"Alenka Zupančič"
"S";"Anax"
"Cran";"Xen"
"Crates of T";"Diogen"
"Lacydes of Cyren";"Arcesil"
"Ibn Mada'";"Al-Jahiz"
"Ida Laura Pfeiff";"Alexander von Humbol"
"Cyprian Norw";"August Cieszkowsk"
"Graham P";"Alexius Meinon"
"Greg Mankiw";"Arthur Cecil P"
"Gustav Ludwig Hertz";"Arthur R. von Hippel"
"Gustav Mahl";"Arthur Schopen"
"Guy de Maupassan";"Arthur Schopen"
"Günter G";"Denis D"
"Asclepius of Trall";"Ammonius Herm"
"Heinrich Scholz";"Bernard Bolzan"
"Henri Bergson";"Arthur Schopen"
"Henry David T";"Alexander von Humbol"
"Henry Hazl";"Benjamin Anderson"
"Henry Ludwell M";"Vilfredo P"
"Henry Norris Russell";"Arthur Robert Hink"
"Heracl";"Anaximenes of Mil"
"Herbert A. Simon";"W. Ross Ashby"
"Herbert Blum";"W. I. Thom"
"Herbert Spen";"Auguste Com"
"Hermann H";"Arthur Schopen"
"M. N. Sriniv";"Alfred Radcliffe-Brown"
"Macfarlane Burn";"Charles Kellaway  Charles Halliley Kellaway  1"
"Machado de A";"Arthur Schopen"
"Mahbub ul Haq";"Amartya Sen"
"Maimon";"Alexander of A"
"Maimon";"Al-F"
"Maimon";"Avem"
"Maimon";"Av"
"Manfred Frank";"Dieter Hen"
"Cal";"Alcmaeon of Croton"
"Carlo Michel";"Arthur Schopen"
"Carn";"Arcesil"
"Ricardo Mell";"Benjamin Tuck"
"Richard Adolf Zsigmondy";"August Kun"
"Richard B. Spen";"Aleksandr Dugin"
"Richard Couran";"Arthur R. von Hippel"
"Richard Dawkin";"Daniel Denn"
"Richard Dawkin";"W. D. Hamilton"
"Richard Dawkin";"Alexander George Ogston"
"Richard Fortey";"Albert Heim"
"Richard N. Fry";"Arthur Upham P"
